id,lokasi,luas_tanah,luas_bangunan,kamar_tidur,kamar_mandi,kapasitas_garasi,usia_bangunan,jarak_pusat_kota_km,harga_juta
229,Tangerang Selatan,95,82,2,1,1,14,11.3,1301.18
230,Jakarta Selatan,144,126,4,3,2,22,4.4,2743.35
231,Jakarta Barat,94,58,2,1,1,16,6.3,1346.46
232,Bekasi,128,87,3,2,2,14,20.0,1125.98
233,Jakarta Selatan,122,103,3,2,1,19,18.4,1961.31
234,Jakarta Selatan,97,80,1,1,1,17,15.7,1508.15
235,Jakarta Selatan,195,128,5,4,3,17,22.6,3232.84
236,Jakarta Barat,142,94,3,2,1,1,15.4,2181.4
237,Depok,49,35,2,1,0,3,12.7,564.01
238,Jakarta Selatan,127,95,3,3,2,0,9.8,2568.4
239,Jakarta Selatan,97,76,2,1,1,3,23.6,1612.83
240,Jakarta Barat,150,107,2,1,1,17,3.9,2224.12
241,Bekasi,92,68,2,1,1,4,23.4,853.54
242,Tangerang Selatan,116,96,3,2,2,18,21.0,1434.25
243,Jakarta Barat,138,84,2,2,2,14,5.0,2051.42
244,Bekasi,150,101,3,2,1,7,15.0,1353.67
245,Tangerang Selatan,78,63,1,2,0,19,21.9,799.16
246,Depok,108,94,4,3,1,16,15.2,1184.18
247,Bekasi,103,78,3,2,1,0,22.9,1049.46
248,Jakarta Barat,97,74,2,1,2,11,23.7,1334.56
249,Jakarta Barat,182,115,2,1,2,18,11.7,2491.14
250,Jakarta Selatan,134,98,3,2,1,14,10.7,2303.35
251,Jakarta Barat,76,58,1,2,0,8,23.5,938.21
252,Depok,152,102,4,3,1,6,17.5,1521.88
253,Jakarta Barat,194,132,3,3,1,1,4.7,3060.23
254,Jakarta Selatan,156,111,3,2,1,8,3.0,2780.91
255,Bekasi,67,41,1,2,1,9,15.0,645.93
256,Tangerang Selatan,103,72,2,2,1,1,23.4,1290.84
257,Jakarta Selatan,164,109,3,3,1,18,21.4,2487.21
258,Jakarta Barat,95,66,3,3,1,10,17.5,1289.29
259,Jakarta Barat,136,86,2,2,2,12,5.2,2032.84
260,Bekasi,147,127,3,2,1,9,7.8,1526.19
261,Jakarta Selatan,88,68,1,1,1,13,22.1,1228.09
262,Jakarta Barat,118,95,4,3,1,17,6.2,1895.46
263,Tangerang Selatan,45,38,2,2,0,18,8.4,600.17
264,Jakarta Barat,84,63,2,1,1,21,5.0,1198.53
265,Tangerang Selatan,111,69,2,2,1,8,17.6,1363.66
266,Tangerang Selatan,76,58,2,1,1,24,23.7,670.96
267,Jakarta Barat,177,137,3,2,2,6,8.2,2818.33
268,Depok,70,58,3,2,1,2,12.9,907.52
269,Tangerang Selatan,105,77,2,1,2,19,16.6,1228.48
270,Jakarta Selatan,125,80,2,1,1,5,25.0,1890.14
271,Tangerang Selatan,170,116,3,2,2,20,4.4,2210.09
272,Bekasi,70,50,1,1,0,1,13.5,674.76
273,Bekasi,161,128,3,2,2,5,10.9,1646.34
274,Jakarta Selatan,120,93,3,2,2,2,21.9,2116.23
275,Depok,86,61,1,1,2,15,12.9,810.22
276,Jakarta Barat,136,122,3,3,1,7,4.6,2355.75
277,Jakarta Selatan,127,99,3,2,1,1,16.6,2394.36
278,Jakarta Selatan,99,66,2,1,1,16,19.7,1459.1
279,Jakarta Selatan,122,77,2,1,2,8,2.1,2152.83
280,Bekasi,107,69,2,1,2,11,21.8,825.85
281,Jakarta Selatan,124,84,2,1,1,2,6.3,2255.26
282,Jakarta Selatan,143,93,3,2,1,10,14.7,2340.06
283,Depok,176,115,3,2,1,0,11.6,1794.44
284,Jakarta Barat,77,53,2,1,0,22,18.6,872.18
285,Jakarta Selatan,195,127,4,3,2,12,10.5,3358.63
286,Jakarta Selatan,52,45,2,2,0,14,22.0,754.7
287,Jakarta Selatan,115,72,2,2,1,4,18.8,1931.08
288,Jakarta Selatan,141,107,3,2,2,20,16.9,2235.31
289,Tangerang Selatan,130,94,2,1,2,16,20.3,1518.72
290,Jakarta Selatan,98,88,3,2,1,24,19.3,1523.12
291,Jakarta Selatan,113,72,2,1,1,22,2.8,1890.0
292,Bekasi,103,74,1,2,1,23,11.1,760.02
293,Tangerang Selatan,99,88,3,2,1,24,23.4,1031.92
294,Jakarta Barat,150,129,4,3,1,5,4.9,2621.46
295,Tangerang Selatan,132,112,3,2,1,20,19.0,1686.38
296,Jakarta Barat,96,65,2,2,2,21,24.4,1162.55
297,Tangerang Selatan,151,98,2,1,1,10,3.2,1931.97
298,Tangerang Selatan,131,105,2,1,2,17,17.7,1673.9
299,Jakarta Barat,148,130,4,3,1,3,12.8,2446.33
300,Depok,142,109,3,2,1,2,15.3,1564.53
